+--------------+--------+------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   Problem ID | LLM    | Prompt Type      | Gen 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Gen 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Gen 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ```python                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                               To calculate the MAD, we need to calculate the mean of the dataset first. We can then subtract each element from the mean and calculate the average absolute difference.                                                                                                                                                                                                                                                                                                                                                                                                                                                              | def mean_absolute_deviation(numbers: List[float]) -> float:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                               To calculate the Mean Absolute Deviation (MAD) of a list of numbers, we first calculate the mean of the list using the built-in `numpy.mean()` function. Then, for each number in the list, we calculate the absolute difference between the number and the mean. Finally, we calculate the average of these absolute differences using the built-in `numpy.mean()` function.                                                                                                          |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |     """Calculate the mean absolute deviation of a list of numbers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                               Here's the function:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                               Here is the code for the function:                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |     Args:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                               def mean\_absolute\_deviation(numbers: List[float]) -> float:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |     numbers (List[float]): A list of numbers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                                   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                               def mean\_absolute\_deviation(numbers: List[float]) -> float:                                                                                                                                                                                                                                                                                                                                                                                                                          |
|              |        |                  |                                   Calculate the Mean Absolute Deviation of a dataset.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |     Returns:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |     float: The mean absolute deviation of the list of numbers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                   Calculate the Mean Absolute Deviation of a list of numbers.                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                   if not numbers:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                       return float('inf')                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |     Example:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                   mean = numpy.mean(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |     mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])  # returns 1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                   absolute\_differences = [numpy.abs(x - mean) for x in numbers]                                                                                                                                                                                                                                                                                                                                                                                                                     |
|              |        |                  |                                   mean = sum(numbers) / len(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |     """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                   mad = numpy.mean(absolute\_differences)                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|              |        |                  |                                   absolute\_deviation = [abs(x - mean) for x in numbers]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |     if not numbers:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                   return mad                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |         return 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                                   return sum(absolute\_deviation) / len(absolute\_deviation)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                               Example usage:                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |     x_mean = sum(numbers) / len(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                               numbers = [1.0, 2.0, 3.0, 4.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|              |        |                  |                               Example usage:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |     x_diff = [x - x_mean for x in numbers]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                               result = mean\_absolute\_deviation(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|              |        |                  |                               >>> mean\_absolute\_deviation([1.0, 2.0, 3.0, 4.0])                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |     return sum(x_diff) / len(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                               1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | ```                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                               """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Explanation:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1. First, we check if the list of numbers is empty. If it is, we return 0 since there is no mean to calculate the deviation from.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 2. Next, we calculate the mean of the list of numbers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
+--------------+--------+------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
